+--------+-------------+-------------+-------------+----------------+
|   Z    |      Up     |      U      |      F      |     Div F      |
| 0.0071 |  2.5617e-06 | 3.54371e-07 |  73.132291  |  10301.381394  |
| 0.0072 |  2.5617e-06 | 3.54371e-07 |  74.162429  |  10301.369485  |
| 0.0073 |  2.5617e-06 | 3.54371e-07 |  75.192565  |  10301.357236  |
| 0.0074 |  2.5617e-06 |  3.5437e-07 |  76.222700  |  10301.346348  |
| 0.0075 |  2.5617e-06 |  3.5437e-07 |  77.252835  |  10301.335120  |
| 0.0076 |  2.5617e-06 |  3.5437e-07 |  78.282968  |  10301.325253  |
| 0.0077 |  2.5617e-06 |  3.5437e-07 |  79.313100  |  10301.314706  |
| 0.0078 |  2.5617e-06 | 3.54369e-07 |  80.343231  |  10301.306200  |
| 0.0079 |  2.5617e-06 | 3.54369e-07 |  81.373361  |  10301.296674  |
| 0.008  |  2.5617e-06 | 3.54369e-07 |  82.403490  |  10301.288169  |
| 0.0081 |  2.5617e-06 | 3.54369e-07 |  83.433619  |  10301.280345  |
| 0.0082 |  2.5617e-06 | 3.54368e-07 |  84.463746  |  10301.272862  |
| 0.0083 |  2.5617e-06 | 3.54368e-07 |  85.493873  |  10301.265038  |
| 0.0084 |  2.5617e-06 | 3.54368e-07 |  86.523999  |  10301.257894  |
| 0.0085 |  2.5617e-06 | 3.54367e-07 |  87.554125  |  10301.251432  |
| 0.0086 |  2.5617e-06 | 3.54367e-07 |  88.584250  |  10301.244970  |
| 0.0087 |  2.5617e-06 | 3.54367e-07 |  89.614374  |  10301.238848  |
| 0.0088 |  2.5617e-06 | 3.54367e-07 |  90.644498  |  10301.232727  |
| 0.0089 |  2.5617e-06 | 3.54366e-07 |  91.674621  |  10301.227626  |
| 0.009  |  2.5617e-06 | 3.54366e-07 |  92.704743  |  10301.222526  |
| 0.0091 |  2.5617e-06 | 3.54366e-07 |  93.734865  |  10301.217426  |
| 0.0092 |  2.5617e-06 | 3.54366e-07 |  94.764987  |  10301.212326  |
| 0.0093 |  2.5617e-06 | 3.54365e-07 |  95.795108  |  10301.208587  |
| 0.0094 |  2.5617e-06 | 3.54365e-07 |  96.825228  |  10301.203828  |
| 0.0095 |  2.5617e-06 | 3.54365e-07 |  97.855349  |  10301.200090  |
| 0.0096 |  2.5617e-06 | 3.54364e-07 |  98.885469  |  10301.196011  |
| 0.0097 |  2.5617e-06 | 3.54364e-07 |  99.915588  |  10301.192273  |
| 0.0098 |  2.5617e-06 | 3.54364e-07 |  100.945707 |  10301.188876  |
| 0.0099 |  2.5617e-06 | 3.54363e-07 |  101.975826 |  10301.185819  |
|  0.01  |  2.5617e-06 | 3.54363e-07 |  103.005944 |  10301.182763  |
| 0.0101 |  2.5617e-06 | 3.54363e-07 |  104.036063 |  10301.180046  |
| 0.0102 |  2.5617e-06 | 3.54362e-07 |  105.066181 |  10301.177331  |
| 0.0103 |  2.5617e-06 | 3.54362e-07 |  106.096298 |  10301.174275  |
| 0.0104 |  2.5617e-06 | 3.54362e-07 |  107.126416 |  10301.171899  |
| 0.0105 |  2.5617e-06 | 3.54361e-07 |  108.156533 |  10301.169865  |
| 0.0106 |  2.5617e-06 | 3.54361e-07 |  109.186650 |  10301.167830  |
| 0.0107 |  2.5617e-06 | 3.54361e-07 |  110.216767 |  10301.165796  |
| 0.0108 |  2.5617e-06 |  3.5436e-07 |  111.246883 |  10301.164102  |
| 0.0109 |  2.5617e-06 |  3.5436e-07 |  112.277000 |  10301.162409  |
| 0.011  |  2.5617e-06 |  3.5436e-07 |  113.307116 |  10301.161056  |
| 0.0111 |  2.5617e-06 | 3.54359e-07 |  114.337232 |  10301.159363  |
| 0.0112 |  2.5617e-06 | 3.54359e-07 |  115.367348 |  10301.158351  |
| 0.0113 |  2.5617e-06 | 3.54359e-07 |  116.397464 |  10301.156999  |
| 0.0114 |  2.5617e-06 | 3.54358e-07 |  117.427579 |  10301.155647  |
| 0.0115 |  2.5617e-06 | 3.54358e-07 |  118.457695 |  10301.154636  |
| 0.0116 |  2.5617e-06 | 3.54358e-07 |  119.487811 |  10301.153965  |
| 0.0117 |  2.5617e-06 | 3.54357e-07 |  120.517926 |  10301.152954  |
| 0.0118 |  2.5617e-06 | 3.54357e-07 |  121.548042 |  10301.152964  |
| 0.0119 |  2.5617e-06 | 3.54356e-07 |  122.578157 |  10301.151954  |
| 0.012  |  2.5617e-06 | 3.54356e-07 |  123.608272 |  10301.151625  |
| 0.0121 |  2.5617e-06 | 3.54356e-07 |  124.638388 |  10301.151296  |
| 0.0122 |  2.5617e-06 | 3.54355e-07 |  125.668503 |  10301.150967  |
| 0.0123 |  2.5617e-06 | 3.54355e-07 |  126.698618 |  10301.150638  |
| 0.0124 |  2.5617e-06 | 3.54354e-07 |  127.728733 |  10301.151331  |
| 0.0125 |  2.5617e-06 | 3.54354e-07 |  128.758849 |  10301.150663  |
| 0.0126 |  2.5617e-06 | 3.54354e-07 |  129.788964 |  10301.151016  |
| 0.0127 |  2.5617e-06 | 3.54353e-07 |  130.819079 |  10301.150689  |
| 0.0128 |  2.5617e-06 | 3.54353e-07 |  131.849194 |  10301.151042  |
| 0.0129 |  2.5617e-06 | 3.54352e-07 |  132.879310 |  10301.151396  |
| 0.013  |  2.5617e-06 | 3.54352e-07 |  133.909425 |  10301.151751  |
| 0.0131 |  2.5617e-06 | 3.54352e-07 |  134.939540 |  10301.152446  |
| 0.0132 |  2.5617e-06 | 3.54351e-07 |  135.969656 |  10301.152801  |
| 0.0133 |  2.5617e-06 | 3.54351e-07 |  136.999771 |  10301.153496  |
| 0.0134 |  2.5617e-06 |  3.5435e-07 |  138.029887 |  10301.154192  |
| 0.0135 |  2.5617e-06 |  3.5435e-07 |  139.060003 |  10301.154548  |
| 0.0136 |  2.5617e-06 | 3.54349e-07 |  140.090118 |  10301.155585  |
| 0.0137 |  2.5617e-06 | 3.54349e-07 |  141.120234 |  10301.155942  |
| 0.0138 |  2.5617e-06 | 3.54349e-07 |  142.150350 |  10301.157660  |
| 0.0139 |  2.5617e-06 | 3.54348e-07 |  143.180466 |  10301.158699  |
| 0.014  |  2.5617e-06 | 3.54348e-07 |  144.210582 |  10301.159397  |
| 0.0141 |  2.5617e-06 | 3.54347e-07 |  145.240698 |  10301.161116  |
| 0.0142 |  2.5617e-06 | 3.54347e-07 |  146.270815 |  10301.161815  |
| 0.0143 |  2.5617e-06 | 3.54346e-07 |  147.300931 |  10301.162855  |
| 0.0144 |  2.5617e-06 | 3.54346e-07 |  148.331048 |  10301.164235  |
| 0.0145 |  2.5617e-06 | 3.54345e-07 |  149.361165 |  10301.165616  |
| 0.0146 |  2.5617e-06 | 3.54345e-07 |  150.391282 |  10301.166657  |
| 0.0147 |  2.5617e-06 | 3.54344e-07 |  151.421399 |  10301.168719  |
| 0.0148 |  2.5617e-06 | 3.54344e-07 |  152.451516 |  10301.169761  |
| 0.0149 |  2.5617e-06 | 3.54343e-07 |  153.481633 |  10301.171484  |
| 0.015  |  2.5617e-06 | 3.54343e-07 |  154.511751 |  10301.172867  |
| 0.0151 |  2.5617e-06 | 3.54343e-07 |  155.541868 |  10301.174931  |
| 0.0152 |  2.5617e-06 | 3.54342e-07 |  156.571986 |  10301.176314  |
| 0.0153 |  2.5617e-06 | 3.54342e-07 |  157.602104 |  10301.178039  |
| 0.0154 |  2.5617e-06 | 3.54341e-07 |  158.632223 |  10301.179424  |
| 0.0155 |  2.5617e-06 | 3.54341e-07 |  159.662341 |  10301.181489  |
| 0.0156 |  2.5617e-06 |  3.5434e-07 |  160.692460 |  10301.183556  |
| 0.0157 |  2.5617e-06 |  3.5434e-07 |  161.722579 |  10301.185282  |
| 0.0158 |  2.5617e-06 | 3.54339e-07 |  162.752698 |  10301.187349  |
| 0.0159 |  2.5617e-06 | 3.54339e-07 |  163.782817 |  10301.189077  |
| 0.016  |  2.5617e-06 | 3.54338e-07 |  164.812936 |  10301.191485  |
| 0.0161 |  2.5617e-06 | 3.54338e-07 |  165.843056 |  10301.193554  |
| 0.0162 |  2.5617e-06 | 3.54337e-07 |  166.873176 |  10301.195283  |
| 0.0163 |  2.5617e-06 | 3.54336e-07 |  167.903296 |  10301.197693  |
| 0.0164 |  2.5617e-06 | 3.54336e-07 |  168.933416 |  10301.199763  |
| 0.0165 |  2.5617e-06 | 3.54335e-07 |  169.963537 |  10301.202174  |
| 0.0166 |  2.5617e-06 | 3.54335e-07 |  170.993658 |  10301.204586  |
| 0.0167 |  2.5617e-06 | 3.54334e-07 |  172.023779 |  10301.206658  |
| 0.0168 |  2.5617e-06 | 3.54334e-07 |  173.053900 |  10301.209070  |
| 0.0169 |  2.5617e-06 | 3.54333e-07 |  174.084021 |  10301.211143  |
| 0.017  |  2.5617e-06 | 3.54333e-07 |  175.114143 |  10301.213557  |
| 0.0171 |  2.5617e-06 | 3.54332e-07 |  176.144265 |  10301.216652  |
| 0.0172 |  2.5617e-06 | 3.54332e-07 |  177.174388 |  10301.218386  |
| 0.0173 |  2.5617e-06 | 3.54331e-07 |  178.204510 |  10301.221142  |
| 0.0174 |  2.5617e-06 | 3.54331e-07 |  179.234633 |  10301.223899  |
| 0.0175 |  2.5617e-06 |  3.5433e-07 |  180.264756 |  10301.226315  |
| 0.0176 |  2.5617e-06 | 3.54329e-07 |  181.294879 |  10301.229073  |
| 0.0177 |  2.5617e-06 | 3.54329e-07 |  182.325003 |  10301.231491  |
| 0.0178 |  2.5617e-06 | 3.54328e-07 |  183.355127 |  10301.233910  |
| 0.0179 |  2.5617e-06 | 3.54328e-07 |  184.385251 |  10301.237009  |
| 0.018  |  2.5617e-06 | 3.54327e-07 |  185.415376 |  10301.239769  |
| 0.0181 |  2.5617e-06 | 3.54327e-07 |  186.445501 |  10301.242530  |
| 0.0182 |  2.5617e-06 | 3.54326e-07 |  187.475626 |  10301.244951  |
| 0.0183 |  2.5617e-06 | 3.54325e-07 |  188.505751 |  10301.248054  |
| 0.0184 |  2.5617e-06 | 3.54325e-07 |  189.535877 |  10301.251157  |
| 0.0185 |  2.5617e-06 | 3.54324e-07 |  190.566003 |  10301.253920  |
| 0.0186 |  2.5617e-06 | 3.54324e-07 |  191.596129 |  10301.256344  |
| 0.0187 |  2.5617e-06 | 3.54323e-07 |  192.626256 |  10301.259789  |
| 0.0188 |  2.5617e-06 | 3.54322e-07 |  193.656383 |  10301.262895  |
| 0.0189 |  2.5617e-06 | 3.54322e-07 |  194.686510 |  10301.266001  |
| 0.019  |  2.5617e-06 | 3.54321e-07 |  195.716637 |  10301.268427  |
| 0.0191 |  2.5617e-06 | 3.54321e-07 |  196.746765 |  10301.271876  |
| 0.0192 |  2.5617e-06 |  3.5432e-07 |  197.776894 |  10301.274303  |
| 0.0193 |  2.5617e-06 | 3.54319e-07 |  198.807022 |  10301.278093  |
| 0.0194 |  2.5617e-06 | 3.54319e-07 |  199.837151 |  10301.281544  |
| 0.0195 |  2.5617e-06 | 3.54318e-07 |  200.867280 |  10301.284995  |
| 0.0196 |  2.5617e-06 | 3.54318e-07 |  201.897410 |  10301.287085  |
| 0.0197 |  2.5617e-06 | 3.54317e-07 |  202.927540 |  10301.290538  |
| 0.0198 | 2.56169e-06 | 3.54316e-07 |  203.957670 |  10301.294331  |
| 0.0199 | 2.56169e-06 | 3.54316e-07 |  204.987800 |  10301.297105  |
|  0.02  | 2.56169e-06 | 3.54315e-07 |  206.017931 |  10301.300559  |
| 0.0201 | 2.56169e-06 | 3.54314e-07 |  207.048063 |  10301.304015  |
| 0.0202 | 2.56169e-06 | 3.54314e-07 |  208.078194 |  10301.307131  |
| 0.0203 | 2.56169e-06 | 3.54313e-07 |  209.108326 |  10301.310248  |
| 0.0204 | 2.56169e-06 | 3.54312e-07 |  210.138458 |  10301.313706  |
| 0.0205 | 2.56169e-06 | 3.54312e-07 |  211.168591 |  10301.317505  |
| 0.0206 | 2.56169e-06 | 3.54311e-07 |  212.198724 |  10301.320284  |
| 0.0207 | 2.56169e-06 |  3.5431e-07 |  213.228858 |  10301.324425  |
| 0.0208 | 2.56169e-06 |  3.5431e-07 |  214.258991 |  10301.328227  |
| 0.0209 | 2.56169e-06 | 3.54309e-07 |  215.289126 |  10301.331689  |
| 0.021  | 2.56169e-06 | 3.54308e-07 |  216.319260 |  10301.334471  |
| 0.0211 | 2.56169e-06 | 3.54308e-07 |  217.349395 |  10301.337935  |
| 0.0212 | 2.56169e-06 | 3.54307e-07 |  218.379530 |  10301.342081  |
| 0.0213 | 2.56169e-06 | 3.54306e-07 |  219.409666 |  10301.345206  |
| 0.0214 | 2.56169e-06 | 3.54306e-07 |  220.439802 |  10301.349013  |
| 0.0215 | 2.56169e-06 | 3.54305e-07 |  221.469939 |  10301.352480  |
| 0.0216 | 2.56169e-06 | 3.54304e-07 |  222.500076 |  10301.356289  |
